,0
251,Proof frm #Oman that camels can carry #MERS as already seen #saudiarabia &amp #qatar http://t.co/1qrK1smOA1 Doesn't = people get frm camels
252,Tune in: Latest news on #Chile #earthquake with 2 Nieman alumni on @BBCworld at 14 EST - @philippanews &amp @paulamolinat
253,Mystérieux glissement de terrain en Russie (vidéo) - http://t.co/CSgA7u7AcM http://t.co/iwuu7K86Li
254,News Update: Hagupit: Massive damage not deaths: MANILA – Smiling and carrying bags of relief go... http://t.co/5dATHtfBbv /BangkokPost
255,Uh-oh. Wineries damaged in CA earthquake http://t.co/xqIRC3Y7wQ #liberallogic #tcot #uniteblue #pjnet #teaparty #libcrib
256,RT @BBCWorld: Iceland's #Bardarbunga volcano hit by 5.7 magnitude earthquake largest since tremors began last week http://t.co/6I1ZTskB4c
257,Iceland Evacuates Area Near Bardabunga Volcano Over Eruption Concerns http://t.co/ZXdIr07LVz
258,Typhoon Hagupit weakens but flooding high winds kill at least 21 by Andrew Freedman http://t.co/UeJQDFadU1
259,DTN Health: MERS virus hasn't changed not reason for surge in Saudi cases: A German coronavirus expert says t... http://t.co/qLFCriCgxo
260,RT @gmanews: .@NDRRMC_OpCen: Official death toll from #RubyPH rises to 8 http://t.co/Lz15wasJd0
261,“@usembassymanila: Message to U.S. Citizens in the #Philippines Contacting the Embassy About Typhoon Hagupit Issues http://t.co/DQoDV1o9XF”
262,M-C: CA 'Quake knocks Napa stations off-air. http://t.co/g0Kv1IgSME
263,Iceland raises volcano alert to red after eruption http://t.co/pq8Acp030W http://t.co/y7ogBjdExI #iceland
264,Inmates escape after Chile earthquake http://t.co/lU1OD7kojJ
265,The Aftermath of Chile's Earthquake http://t.co/kh8H1S8FUY
266,#Chile#Peru border remains closed as 300 inmates escaped from a women's prison in the city of Iquique. In Arica taking advantage of #quake
267,Philippines starts clean-up after Hagupit. http://t.co/pHmZS3XaqT
268,wunderground Hagupit Weakens to a Tropical Storm After Killing 21 in the Philippines: Light to moderate rains ... http://t.co/tHQ84PlvYy
269,Powerful typhoon approaching central Philippines http://t.co/IpKwF7ohNU
270,Storm churns towards #Philippine capital after killing at least 23 http://t.co/BvDE5OeoYR  #Manila #Hagupit
271,SEVERE WEATHER BULLETIN No. 23FOR: TROPICAL DEPRESSION “#RubyPH” (HAGUPIT)TROPICAL CYCLONE: ALERTISSUED AT... http://t.co/f1HqsX99uO
272,@aeryonlabs Scout will Assist @globalmedicdmgf in Providing Aid in Regions affected by Typhoon Hagupit http://t.co/4TyiQowsBO
273,CTV report on GlobalMedic's UAV response to Typhoon Hagupit http://t.co/PIHa7ZHqSC
274,Inmates escape after Chile earthquake: CNN's Rafael Romo reports on the aftermath of an 8.2-magnitude earthqua... http://t.co/olnvCIygtb
275,Photo: Flooded hotel from devastation of Hurricane Odile in Baja California Sur Mexico - @Florblanca25: Photo:... http://t.co/UoARpgG96t
276,Middle East Respiratory Syndrome (MERS) toll reaches 102 in Saudi Arabia http://t.co/cCnfYbaGZc
277,Hagupit: Massive damage not deaths http://t.co/HAZg7F5wSf
278,Iceland's volcano is still rumbling — but not yet erupting http://t.co/0JEL3LZYs9
279,#Philippines begins cleanup after typhoon #Hagupit. http://t.co/9QNDP3cFVr http://t.co/92qr71Ln5b
280,RedMiVoz [AHORA] Deslizamiento de tierra en quebrada de #Vicuña provoca traslado de vecinos a albergues  #Chile elobservatodo
281,At least 27 dead as storm batters Philippines http://t.co/ApqLpdR9PW
282,RT @HurricaneChanel: Video: Winds from the approaching Hurricane Odile blows out windows of hotel room in Los Cabos Mexico -valverde_fede …
283,frequent updates on seismic activity Bardbunga volcano Iceland http://t.co/7yeVPSXmsD
284,3 dead 900K evacuate as typhoon slams Philippines http://t.co/pRCdOMFAVV
285,A typhoon is forcing millions to evacuate in the Philippines. The latest #LiveOnK2 at 5:30am http://t.co/ItEms5jaeV
286,Iceland Evacuates Area Near Bardabunga Volcano Over Eruption Concerns http://t.co/Lv1AIq3m60
287,A storm that began as a frighteningly powerful typhoon started to blow away from the Philippines Tuesday after... http://t.co/ZcV3hZzX4H
288,WWHGD data: #opendata for Typhoon Hagupit/Ruby http://t.co/lQbmUXTtza
289,Singapore Red Cross sends team to typhoon-hit Philippines donates $60000 - AsiaOne http://t.co/n3OJMBXVGb #sgb... http://t.co/7GecQz8yJX
290,"Cebu under state of calamity: MANILA Philippines--Following the devastation of Typhoon ""Ruby"" Cebu has declared a… http://t.co/38IpBsZXQN"
291,Sigh of relief as Hagupit clears Philippines #WorldNews http://t.co/GP4XhJdSGp
292,In Philippines lessons from #Haiyan helped lessen #Hagupit's impact http://t.co/tQSftQd4dy #CNSstory http://t.co/2sXxzoIbFS
293,.@Alexandra_Arce visitó a familias afectadas por deslizamiento de tierra http://t.co/2Hx3oIpf91 / @MashiRafael http://t.co/AMbcKPHwGd
294,[EMSC] M4.4 Apr-03 07:15:42 UTC OFFSHORE TARAPACA CHILE Depth:24.0km http://t.co/t91uMhkFpY #quake http://t.co/oJdZQXGRvz
295,Massive 8.0 Earthquake Strikes Off The Coast Of Chile - A massive 8.0 magnitude earthquake  according to the USGS... http://t.co/OYGRycx5y5
296,With your support we can reach even more children affected by Typhoon #RubyPH (#Hagupit) &gt… http://t.co/zbAshOa7Y4
297,The Destruction Left Behind After Chile's Earthquake (PHOTOS) http://t.co/X2vbhR7tyc
298,[ST] Singapore Red Cross sends five for Typhoon Hagupit relief http://t.co/LhiNGCTlGs
299,MERS cases spike to 339 in Saudi Arabia http://t.co/eGFMidwSUY
300,As Hagupit Strikes the Philippines ASYA Search and Rescue Team put on full alert - Cihan News Agency #micronesia http://t.co/yRKczENAtY
301,Habitantes de 'El Callejón'  en el barrio San Blas temen que deslizamiento de tierra afecte sus casas #CityNoticias
302,Philippine storm weakens after leaving at least 21 dead (w/video): SAN JUAN Philippines — Typhoon Hagupit weakened… http://t.co/lnnbBtCPsO
303,Philippine capital braces for storm as Hagupit leaves 27 dead - Reuters http://t.co/yw9kySlq6N #Typhoon
304,RT @beforeitsnews: Iceland’s volcano situation heating up again http://t.co/7xxxFtEwKD
305,At Least 2 Dead as Typhoon Batters Philippines | Watch: http://t.co/qPU4vrbz1v
306,Weakened typhoon movesout of Philippines kills 27http://t.co/qqO8U23tUi#manila #Hagupit #storm http://t.co/4xz6UKD7AV
307,"We're giving desperately needed foodwater &amp hygiene kits"" to #TyphoonHagupit evacuees says our #Philippines team http://t.co/a15owxBpEq"
308,"Philippine rescuers struggle to reach villages after typhoon ""folded homes like paper"": DOLORES Philippines (Reuters) - Philippine e..."
309,Pama (NDRRMC) on death toll: We follow protocols. We record no. of deaths when verified confirmed validated (DOH certification). #RubyPH
310,From Sunday: Sonoma Raceway escapes earthquake damage http://t.co/TSZjgsHIHE  #nascar
311,Tropical Storm Hagupit batters Philippines killing at least 21 http://t.co/XQrApDErFx
312,#HagupitUpdates : now downgraded as tropical storm. meantime 21 lives are already lost. http://t.co/j5JjoGfsjd #climatechange #hagupit
313,@GDACS overview released! #CapeVerde #volcano #Hagupit #typhoon #Iraq emergency and more http://t.co/M281iaujDs @UNOCHA @NASA @Reach_info
314,Homes in La Paz Leyte built thru Build Back Safer survived #Hagupit @eu_echo @OCHAPhilippines @CARE @ShelterCluster http://t.co/vNmYAIjhmk
